Date & Time,Temperature,Clouds,Humidity,Barometer,Wind,Wind Direction
"Wednesday, 14 January 2015, 06:00 — 12:00",13 / 8 °C,Fog,91%,1018 mbar,7 km/h,NNE
"Wednesday, 14 January 2015, 12:00 — 18:00",14 / 13 °C,Broken clouds,79%,1018 mbar,9 km/h,ENE
"Wednesday, 14 January 2015, 18:00 — 00:00",12 / 9 °C,Fog,86%,1020 mbar,7 km/h,ENE
"Thursday, 15 January 2015, 00:00 — 06:00",9 / 6 °C,Fog,89%,1021 mbar,4 km/h,NNE
"Thursday, 15 January 2015, 06:00 — 12:00",15 / 6 °C,Fog,77%,1022 mbar,5 km/h,NNE
"Thursday, 15 January 2015, 12:00 — 18:00",19 / 16 °C,Clear,54%,850 mbar,8 km/h,NNW
"Thursday, 15 January 2015, 18:00 — 00:00",15 / 12 °C,Clear,73%,1020 mbar,5 km/h,WNW
"Friday, 16 January 2015, 00:00 — 06:00",11 / 7 °C,Clear,87%,1019 mbar,8 km/h,WNW
"Friday, 16 January 2015, 06:00 — 12:00",17 / 7 °C,Clear,68%,1021 mbar,10 km/h,NNW
"Friday, 16 January 2015, 12:00 — 18:00",21 / 19 °C,Clear,41%,1019 mbar,10 km/h,W
"Friday, 16 January 2015, 18:00 — 00:00",19 / 13 °C,Clear,60%,1020 mbar,1 km/h,W
"Saturday, 17 January 2015, 00:00 — 06:00",12 / 7 °C,Clear,75%,1019 mbar,2 km/h,WNW
"Saturday, 17 January 2015, 06:00 — 12:00",18 / 7 °C,Passing clouds,72%,1020 mbar,6 km/h,WNW
"Saturday, 17 January 2015, 12:00 — 18:00",21 / 19 °C,Haze,35%,1019 mbar,11 km/h,NW
"Saturday, 17 January 2015, 18:00 — 00:00",19 / 12 °C,Clear,60%,1020 mbar,1 km/h,W
"Sunday, 18 January 2015, 00:00 — 06:00",12 / 7 °C,Clear,82%,1019 mbar,4 km/h,W
"Sunday, 18 January 2015, 06:00 — 12:00",18 / 7 °C,Passing clouds,71%,1019 mbar,8 km/h,WNW
"Sunday, 18 January 2015, 12:00 — 18:00",21 / 19 °C,Clear,33%,1018 mbar,12 km/h,WNW
"Sunday, 18 January 2015, 18:00 — 00:00",18 / 13 °C,Clear,56%,1018 mbar,1 km/h,SSW
"Monday, 19 January 2015, 00:00 — 06:00",13 / 7 °C,Clear,77%,1019 mbar,0 km/h,N
"Monday, 19 January 2015, 06:00 — 12:00",19 / 7 °C,Clear,70%,1020 mbar,2 km/h,W
"Monday, 19 January 2015, 12:00 — 18:00",21 / 18 °C,Haze,41%,1018 mbar,8 km/h,W
"Monday, 19 January 2015, 18:00 — 00:00",17 / 12 °C,Clear,65%,1018 mbar,0 km/h,SW
"Tuesday, 20 January 2015, 00:00 — 06:00",11 / 8 °C,Clear,82%,1019 mbar,0 km/h,N
"Tuesday, 20 January 2015, 06:00 — 12:00",12 / 6 °C,Fog,90%,1020 mbar,6 km/h,SE
"Tuesday, 20 January 2015, 12:00 — 18:00",15 / 11 °C,Clear,80%,1018 mbar,12 km/h,SE
"Tuesday, 20 January 2015, 18:00 — 00:00",11 / 9 °C,Fog,93%,1020 mbar,16 km/h,ESE
"Wednesday, 21 January 2015, 00:00 — 06:00",9 / 8 °C,Fog,90%,1020 mbar,12 km/h,ESE
"Wednesday, 21 January 2015, 06:00 — 12:00",11 / 8 °C,Light rain. More clouds than sun,83%,1022 mbar,14 km/h,E
"Wednesday, 21 January 2015, 12:00 — 18:00",15 / 11 °C,Scattered clouds,70%,1020 mbar,21 km/h,ESE
"Wednesday, 21 January 2015, 18:00 — 00:00",13 / 9 °C,Rain. Partly cloudy,82%,1021 mbar,11 km/h,ESE
"Thursday, 22 January 2015, 00:00 — 06:00",9 / 7 °C,Passing clouds,87%,1021 mbar,6 km/h,NE
"Thursday, 22 January 2015, 06:00 — 12:00",15 / 7 °C,Passing clouds,77%,1021 mbar,8 km/h,N
"Thursday, 22 January 2015, 12:00 — 18:00",17 / 15 °C,Scattered clouds,64%,1019 mbar,10 km/h,ESE
"Thursday, 22 January 2015, 18:00 — 00:00",15 / 11 °C,Passing clouds,80%,1020 mbar,10 km/h,SE
"Friday, 23 January 2015, 00:00 — 06:00",11 / 8 °C,Passing clouds,84%,1020 mbar,5 km/h,SE
"Friday, 23 January 2015, 06:00 — 12:00",14 / 8 °C,Fog,83%,1022 mbar,6 km/h,ENE
"Friday, 23 January 2015, 12:00 — 18:00",16 / 14 °C,Scattered clouds,72%,1021 mbar,8 km/h,ENE
"Friday, 23 January 2015, 18:00 — 00:00",14 / 12 °C,Clear,77%,1021 mbar,3 km/h,WNW
"Saturday, 24 January 2015, 00:00 — 06:00",12 / 8 °C,Clear,83%,1019 mbar,4 km/h,NW
"Saturday, 24 January 2015, 06:00 — 12:00",16 / 7 °C,Passing clouds,75%,1021 mbar,4 km/h,WNW
"Saturday, 24 January 2015, 12:00 — 18:00",18 / 15 °C,Scattered clouds,58%,1020 mbar,9 km/h,W
"Saturday, 24 January 2015, 18:00 — 00:00",15 / 11 °C,Fog,75%,1021 mbar,5 km/h,W
"Sunday, 25 January 2015, 00:00 — 06:00",10 / 8 °C,Fog,98%,1020 mbar,8 km/h,W
"Sunday, 25 January 2015, 06:00 — 12:00",11 / 8 °C,Fog,96%,1022 mbar,5 km/h,WSW
"Sunday, 25 January 2015, 12:00 — 18:00",14 / 11 °C,Scattered clouds,77%,1020 mbar,6 km/h,W
"Sunday, 25 January 2015, 18:00 — 00:00",13 / 9 °C,Fog,85%,928 mbar,8 km/h,S
"Monday, 26 January 2015, 00:00 — 06:00",9 / 8 °C,Fog,85%,1021 mbar,9 km/h,SSE
"Monday, 26 January 2015, 06:00 — 12:00",13 / 9 °C,Fog,78%,1023 mbar,3 km/h,N
"Monday, 26 January 2015, 12:00 — 18:00",14 / 13 °C,Scattered clouds,67%,1021 mbar,9 km/h,NW
"Monday, 26 January 2015, 18:00 — 00:00",13 / 9 °C,Clear,77%,1021 mbar,2 km/h,W
"Tuesday, 27 January 2015, 00:00 — 06:00",9 / 6 °C,Fog,89%,1020 mbar,2 km/h,N
"Tuesday, 27 January 2015, 06:00 — 12:00",12 / 5 °C,Fog,94%,1022 mbar,5 km/h,NW
"Tuesday, 27 January 2015, 12:00 — 18:00",14 / 13 °C,Scattered clouds,70%,1021 mbar,10 km/h,NW
"Tuesday, 27 January 2015, 18:00 — 00:00",13 / 8 °C,Clear,78%,1021 mbar,5 km/h,W
"Wednesday, 28 January 2015, 00:00 — 06:00",8 / 5 °C,Fog,84%,1019 mbar,8 km/h,NW
"Wednesday, 28 January 2015, 06:00 — 12:00",15 / 6 °C,Passing clouds,60%,1020 mbar,8 km/h,NW
"Wednesday, 28 January 2015, 12:00 — 18:00",18 / 16 °C,Clear,30%,1017 mbar,10 km/h,W
"Wednesday, 28 January 2015, 18:00 — 00:00",15 / 10 °C,Clear,56%,1018 mbar,2 km/h,W
"Thursday, 29 January 2015, 00:00 — 06:00",9 / 7 °C,Clear,73%,1017 mbar,0 km/h,N
"Thursday, 29 January 2015, 06:00 — 12:00",16 / 6 °C,Fog,70%,1020 mbar,2 km/h,WSW
"Thursday, 29 January 2015, 12:00 — 18:00",19 / 15 °C,Passing clouds,31%,1020 mbar,11 km/h,NW
"Thursday, 29 January 2015, 18:00 — 00:00",15 / 9 °C,Passing clouds,58%,1021 mbar,2 km/h,W
"Friday, 30 January 2015, 00:00 — 06:00",9 / 6 °C,Clear,76%,1022 mbar,3 km/h,NNW
"Friday, 30 January 2015, 06:00 — 12:00",17 / 6 °C,Clear,62%,1022 mbar,10 km/h,NW
"Friday, 30 January 2015, 12:00 — 18:00",20 / 17 °C,Clear,25%,1021 mbar,16 km/h,NNW
"Friday, 30 January 2015, 18:00 — 00:00",16 / 11 °C,Haze,53%,1020 mbar,3 km/h,W
"Saturday, 31 January 2015, 00:00 — 06:00",11 / 5 °C,Clear,76%,1019 mbar,5 km/h,WNW
"Saturday, 31 January 2015, 06:00 — 12:00",18 / 5 °C,Passing clouds,52%,1019 mbar,9 km/h,WNW
"Saturday, 31 January 2015, 12:00 — 18:00",20 / 18 °C,Clear,26%,1017 mbar,9 km/h,NW
"Saturday, 31 January 2015, 18:00 — 00:00",16 / 12 °C,Clear,52%,1017 mbar,2 km/h,W
"Sunday, 1 February 2015, 00:00 — 06:00",12 / 9 °C,Passing clouds,77%,890 mbar,8 km/h,E
"Sunday, 1 February 2015, 06:00 — 12:00",18 / 7 °C,Passing clouds,68%,1019 mbar,6 km/h,SE
"Sunday, 1 February 2015, 12:00 — 18:00",20 / 18 °C,Haze,41%,1017 mbar,10 km/h,E
"Sunday, 1 February 2015, 18:00 — 00:00",17 / 12 °C,Clear,72%,1018 mbar,7 km/h,E
"Monday, 2 February 2015, 00:00 — 06:00",12 / 10 °C,Fog,87%,1017 mbar,6 km/h,E
"Monday, 2 February 2015, 06:00 — 12:00",15 / 9 °C,Light rain. Broken clouds,80%,1020 mbar,9 km/h,E
"Monday, 2 February 2015, 12:00 — 18:00",17 / 15 °C,Broken clouds,65%,1019 mbar,15 km/h,E
"Monday, 2 February 2015, 18:00 — 00:00",15 / 13 °C,Light rain. Partly cloudy,85%,1018 mbar,9 km/h,N
"Tuesday, 3 February 2015, 00:00 — 06:00",13 / 11 °C,Fog,89%,1018 mbar,19 km/h,N
"Tuesday, 3 February 2015, 06:00 — 12:00",14 / 11 °C,Rain. More clouds than sun,98%,1020 mbar,10 km/h,NNE
"Tuesday, 3 February 2015, 12:00 — 18:00",17 / 15 °C,Scattered clouds,77%,1021 mbar,8 km/h,NNW
"Tuesday, 3 February 2015, 18:00 — 00:00",15 / 10 °C,Fog,85%,1024 mbar,4 km/h,ENE
"Wednesday, 4 February 2015, 00:00 — 06:00",10 / 8 °C,Fog,100%,1025 mbar,9 km/h,N
"Wednesday, 4 February 2015, 06:00 — 12:00",17 / 8 °C,Fog,76%,1026 mbar,13 km/h,NW
"Wednesday, 4 February 2015, 12:00 — 18:00",21 / 17 °C,Clear,48%,1023 mbar,17 km/h,WNW
"Wednesday, 4 February 2015, 18:00 — 00:00",17 / 13 °C,Clear,66%,1022 mbar,9 km/h,W
"Thursday, 5 February 2015, 00:00 — 06:00",13 / 9 °C,Clear,79%,1020 mbar,5 km/h,WNW
"Thursday, 5 February 2015, 06:00 — 12:00",19 / 8 °C,Scattered clouds,58%,1020 mbar,6 km/h,NW
"Thursday, 5 February 2015, 12:00 — 18:00",22 / 19 °C,Passing clouds,29%,934 mbar,8 km/h,WSW
"Thursday, 5 February 2015, 18:00 — 00:00",20 / 13 °C,Passing clouds,50%,1019 mbar,2 km/h,W
"Friday, 6 February 2015, 00:00 — 06:00",13 / 9 °C,Clear,75%,1018 mbar,1 km/h,S
"Friday, 6 February 2015, 06:00 — 12:00",18 / 8 °C,Fog,76%,935 mbar,3 km/h,SE
"Friday, 6 February 2015, 12:00 — 18:00",20 / 17 °C,Scattered clouds,53%,1019 mbar,7 km/h,SE
"Friday, 6 February 2015, 18:00 — 00:00",17 / 13 °C,Passing clouds,73%,1019 mbar,2 km/h,SSE
"Saturday, 7 February 2015, 00:00 — 06:00",12 / 9 °C,Fog,86%,1019 mbar,0 km/h,N
"Saturday, 7 February 2015, 06:00 — 12:00",17 / 8 °C,Fog,75%,1020 mbar,4 km/h,ENE
"Saturday, 7 February 2015, 12:00 — 18:00",21 / 18 °C,Scattered clouds,45%,1018 mbar,11 km/h,N
"Saturday, 7 February 2015, 18:00 — 00:00",16 / 13 °C,Passing clouds,64%,1018 mbar,14 km/h,NNW
"Sunday, 8 February 2015, 00:00 — 06:00",13 / 10 °C,Passing clouds,74%,1018 mbar,9 km/h,N
"Sunday, 8 February 2015, 06:00 — 12:00",19 / 9 °C,Passing clouds,74%,1019 mbar,10 km/h,N
"Sunday, 8 February 2015, 12:00 — 18:00",22 / 19 °C,Clear,45%,1019 mbar,11 km/h,WNW
"Sunday, 8 February 2015, 18:00 — 00:00",19 / 13 °C,Clear,65%,1019 mbar,7 km/h,WNW
"Monday, 9 February 2015, 00:00 — 06:00",13 / 10 °C,Clear,78%,1021 mbar,4 km/h,W
"Monday, 9 February 2015, 06:00 — 12:00",20 / 9 °C,Passing clouds,67%,1021 mbar,4 km/h,W
"Monday, 9 February 2015, 12:00 — 18:00",21 / 20 °C,Haze,38%,1021 mbar,4 km/h,WNW
"Monday, 9 February 2015, 18:00 — 00:00",20 / 14 °C,Clear,54%,1021 mbar,2 km/h,W
"Tuesday, 10 February 2015, 00:00 — 06:00",14 / 10 °C,Clear,77%,1020 mbar,2 km/h,W
"Tuesday, 10 February 2015, 06:00 — 12:00",21 / 10 °C,Clear,61%,1022 mbar,6 km/h,WNW
"Tuesday, 10 February 2015, 12:00 — 18:00",24 / 21 °C,Clear,34%,1019 mbar,9 km/h,W
"Tuesday, 10 February 2015, 18:00 — 00:00",21 / 14 °C,Passing clouds,50%,1019 mbar,6 km/h,W
"Wednesday, 11 February 2015, 00:00 — 06:00",14 / 11 °C,Passing clouds,67%,1017 mbar,2 km/h,W
"Wednesday, 11 February 2015, 06:00 — 12:00",20 / 10 °C,Scattered clouds,71%,1018 mbar,4 km/h,WSW
"Wednesday, 11 February 2015, 12:00 — 18:00",23 / 20 °C,Haze,37%,1017 mbar,8 km/h,SSE
"Wednesday, 11 February 2015, 18:00 — 00:00",20 / 15 °C,Clear,61%,1017 mbar,0 km/h,N
"Thursday, 12 February 2015, 00:00 — 06:00",15 / 10 °C,Clear,78%,1017 mbar,1 km/h,WNW
"Thursday, 12 February 2015, 06:00 — 12:00",20 / 10 °C,Clear,65%,1018 mbar,8 km/h,W
"Thursday, 12 February 2015, 12:00 — 18:00",24 / 21 °C,Passing clouds,31%,1015 mbar,14 km/h,W
"Thursday, 12 February 2015, 18:00 — 00:00",21 / 16 °C,Clear,56%,1015 mbar,5 km/h,WSW
"Friday, 13 February 2015, 00:00 — 06:00",16 / 12 °C,Clear,72%,1014 mbar,1 km/h,WSW
"Friday, 13 February 2015, 06:00 — 12:00",20 / 10 °C,Clear,70%,1014 mbar,4 km/h,W
"Friday, 13 February 2015, 12:00 — 18:00",26 / 22 °C,Passing clouds,29%,1012 mbar,6 km/h,W
"Friday, 13 February 2015, 18:00 — 00:00",21 / 16 °C,Haze,48%,1012 mbar,2 km/h,SSE
"Saturday, 14 February 2015, 00:00 — 06:00",15 / 13 °C,Passing clouds,71%,1011 mbar,8 km/h,WNW
"Saturday, 14 February 2015, 06:00 — 12:00",22 / 12 °C,Fog,68%,1012 mbar,6 km/h,NNW
"Saturday, 14 February 2015, 12:00 — 18:00",26 / 23 °C,Haze,36%,1010 mbar,10 km/h,W
"Saturday, 14 February 2015, 18:00 — 00:00",22 / 17 °C,Clear,64%,1011 mbar,3 km/h,W
"Sunday, 15 February 2015, 00:00 — 06:00",17 / 15 °C,Clear,72%,1011 mbar,2 km/h,SW
"Sunday, 15 February 2015, 06:00 — 12:00",23 / 12 °C,Passing clouds,65%,1014 mbar,3 km/h,SSE
"Sunday, 15 February 2015, 12:00 — 18:00",28 / 24 °C,Haze,34%,1011 mbar,9 km/h,S
"Sunday, 15 February 2015, 18:00 — 00:00",25 / 17 °C,Passing clouds,59%,1012 mbar,9 km/h,ESE
"Monday, 16 February 2015, 00:00 — 06:00",15 / 14 °C,Thunderstorms. Mostly cloudy,86%,1013 mbar,13 km/h,E
"Monday, 16 February 2015, 06:00 — 12:00",20 / 14 °C,Scattered clouds,76%,1015 mbar,26 km/h,SE
"Monday, 16 February 2015, 12:00 — 18:00",22 / 18 °C,Scattered clouds,64%,1012 mbar,25 km/h,SSE
"Monday, 16 February 2015, 18:00 — 00:00",18 / 16 °C,Partly cloudy,80%,1014 mbar,12 km/h,E
"Tuesday, 17 February 2015, 00:00 — 06:00",16 / 15 °C,Passing clouds,82%,1015 mbar,10 km/h,ENE
"Tuesday, 17 February 2015, 06:00 — 12:00",20 / 14 °C,Scattered clouds,73%,1016 mbar,7 km/h,E
"Tuesday, 17 February 2015, 12:00 — 18:00",23 / 20 °C,Passing clouds,61%,1013 mbar,8 km/h,NNE
"Tuesday, 17 February 2015, 18:00 — 00:00",21 / 18 °C,Passing clouds,68%,1014 mbar,5 km/h,NNE
"Wednesday, 18 February 2015, 00:00 — 06:00",18 / 15 °C,Passing clouds,73%,1012 mbar,2 km/h,ENE
"Wednesday, 18 February 2015, 06:00 — 12:00",21 / 14 °C,Fog,76%,1013 mbar,8 km/h,N
"Wednesday, 18 February 2015, 12:00 — 18:00",24 / 20 °C,Broken clouds,60%,1012 mbar,11 km/h,SSW
"Wednesday, 18 February 2015, 18:00 — 00:00",20 / 16 °C,Passing clouds,77%,1013 mbar,10 km/h,ENE
"Thursday, 19 February 2015, 00:00 — 06:00",16 / 14 °C,Passing clouds,78%,1012 mbar,9 km/h,ENE
"Thursday, 19 February 2015, 06:00 — 12:00",20 / 14 °C,Broken clouds,71%,1013 mbar,14 km/h,ESE
"Thursday, 19 February 2015, 12:00 — 18:00",21 / 19 °C,Broken clouds,70%,1012 mbar,17 km/h,ESE
"Thursday, 19 February 2015, 18:00 — 00:00",17 / 15 °C,Thundershowers. Mostly cloudy,71%,1014 mbar,18 km/h,ENE
"Friday, 20 February 2015, 00:00 — 06:00",14 / 12 °C,Thunderstorms. Mostly cloudy,86%,1013 mbar,15 km/h,N
"Friday, 20 February 2015, 06:00 — 12:00",17 / 13 °C,Thunderstorms. Mostly cloudy,74%,889 mbar,15 km/h,E
"Friday, 20 February 2015, 12:00 — 18:00",17 / 16 °C,Passing clouds,76%,1016 mbar,15 km/h,ENE
"Friday, 20 February 2015, 18:00 — 00:00",16 / 14 °C,Passing clouds,72%,1018 mbar,11 km/h,N
"Saturday, 21 February 2015, 00:00 — 06:00",14 / 12 °C,Passing clouds,85%,1018 mbar,12 km/h,N
"Saturday, 21 February 2015, 06:00 — 12:00",21 / 12 °C,Passing clouds,78%,1018 mbar,13 km/h,NNE
"Saturday, 21 February 2015, 12:00 — 18:00",23 / 21 °C,Scattered clouds,49%,1016 mbar,12 km/h,NW
"Saturday, 21 February 2015, 18:00 — 00:00",21 / 16 °C,Clear,66%,1016 mbar,13 km/h,WNW
"Sunday, 22 February 2015, 00:00 — 06:00",16 / 14 °C,Clear,80%,1016 mbar,9 km/h,WNW
"Sunday, 22 February 2015, 06:00 — 12:00",22 / 13 °C,Passing clouds,71%,1017 mbar,10 km/h,W
"Sunday, 22 February 2015, 12:00 — 18:00",25 / 23 °C,Scattered clouds,50%,1014 mbar,16 km/h,W
"Sunday, 22 February 2015, 18:00 — 00:00",22 / 19 °C,Partly cloudy,66%,1015 mbar,5 km/h,W
"Monday, 23 February 2015, 00:00 — 06:00",19 / 15 °C,Passing clouds,76%,1014 mbar,1 km/h,SSW
"Monday, 23 February 2015, 06:00 — 12:00",22 / 15 °C,Fog,80%,1017 mbar,3 km/h,E
"Monday, 23 February 2015, 12:00 — 18:00",25 / 23 °C,Scattered clouds,58%,1015 mbar,7 km/h,ESE
"Monday, 23 February 2015, 18:00 — 00:00",23 / 19 °C,Passing clouds,77%,1014 mbar,6 km/h,E
"Tuesday, 24 February 2015, 00:00 — 06:00",18 / 16 °C,Fog,83%,1012 mbar,8 km/h,ESE
"Tuesday, 24 February 2015, 06:00 — 12:00",21 / 16 °C,Fog,82%,1012 mbar,13 km/h,SE
"Tuesday, 24 February 2015, 12:00 — 18:00",22 / 20 °C,Thunderstorms. Mostly cloudy,77%,1011 mbar,14 km/h,SE
"Tuesday, 24 February 2015, 18:00 — 00:00",20 / 18 °C,Partly cloudy,84%,1010 mbar,15 km/h,NNE
"Wednesday, 25 February 2015, 00:00 — 06:00",17 / 16 °C,Thunderstorms. Partly cloudy,91%,1008 mbar,18 km/h,E
"Wednesday, 25 February 2015, 06:00 — 12:00",22 / 16 °C,Passing clouds,69%,1008 mbar,29 km/h,SSE
"Wednesday, 25 February 2015, 12:00 — 18:00",24 / 21 °C,Scattered clouds,38%,1007 mbar,33 km/h,SSW
"Wednesday, 25 February 2015, 18:00 — 00:00",19 / 14 °C,Passing clouds,54%,1010 mbar,8 km/h,ENE
"Thursday, 26 February 2015, 00:00 — 06:00",14 / 12 °C,Passing clouds,70%,1010 mbar,4 km/h,E
"Thursday, 26 February 2015, 06:00 — 12:00",20 / 12 °C,Scattered clouds,57%,1012 mbar,7 km/h,N
"Thursday, 26 February 2015, 12:00 — 18:00",22 / 20 °C,Scattered clouds,30%,1010 mbar,12 km/h,NNW
"Thursday, 26 February 2015, 18:00 — 00:00",20 / 15 °C,Clear,53%,1012 mbar,2 km/h,NNW
"Friday, 27 February 2015, 00:00 — 06:00",15 / 11 °C,Clear,77%,1012 mbar,0 km/h,N
"Friday, 27 February 2015, 06:00 — 12:00",21 / 9 °C,Fog,67%,1015 mbar,3 km/h,S
"Friday, 27 February 2015, 12:00 — 18:00",23 / 19 °C,Scattered clouds,35%,1015 mbar,10 km/h,ENE
"Friday, 27 February 2015, 18:00 — 00:00",19 / 16 °C,Passing clouds,55%,1016 mbar,3 km/h,N
"Saturday, 28 February 2015, 00:00 — 06:00",16 / 10 °C,Clear,73%,1016 mbar,1 km/h,ENE
"Saturday, 28 February 2015, 06:00 — 12:00",20 / 10 °C,Scattered clouds,63%,1017 mbar,8 km/h,NNE
"Saturday, 28 February 2015, 12:00 — 18:00",23 / 20 °C,Scattered clouds,36%,1016 mbar,12 km/h,N
"Saturday, 28 February 2015, 18:00 — 00:00",19 / 16 °C,Passing clouds,56%,1015 mbar,9 km/h,N
"Sunday, 1 March 2015, 00:00 — 06:00",16 / 15 °C,Partly cloudy,71%,1012 mbar,15 km/h,NNW
